0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.2000000000	2.9986847806	0.0018198772	0.0002929391
0.4000000000	5.8386577072	0.0035120121	0.0005657344
0.6000000000	8.3943046460	0.0049599258	0.0008000039
0.8000000000	10.5331384212	0.0060685940	0.0009807217
1.0000000000	12.2090268358	0.0067725985	0.0010974944
1.2000000000	13.3563340310	0.0070414693	0.0011453987
1.4000000000	14.0166594084	0.0068817209	0.0011253029
1.6000000000	14.1937962118	0.0063354061	0.0010436455
1.8000000000	13.9840421997	0.0054753487	0.0009116946
2.0000000000	13.4298906103	0.0043975392	0.0007443640
2.2000000000	12.6300303870	0.0032114477	0.0005587048
2.4000000000	11.6269248948	0.0020292105	0.0003722190
2.6000000000	10.4831889972	0.0009547513	0.0002011635
2.8000000000	9.2214599906	0.0000738986	0.0000590076
3.0000000000	7.8641746680	0.0005535389	0.0000448047
3.2000000000	6.4210220763	0.0008989767	0.0001056693
3.4000000000	4.8976569595	0.0009670438	0.0001241355
3.6000000000	3.3086091148	0.0007941834	0.0001056922
3.8000000000	1.6674306634	0.0004440238	0.0000600507
4.0000000000	0.0000000000	0.0000000000	0.0000000000
