0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.2000000000	0.3425715821	0.3510670541	0.3493865351	0.3486880433
0.4000000000	0.6579684027	0.6781467870	0.6749451092	0.6736143767
0.6000000000	0.9208036178	0.9593443933	0.9549248045	0.9530879005
0.8000000000	1.1094605254	1.1767515617	1.1715317631	1.1693623378
1.0000000000	1.2080149509	1.3179626558	1.3124342822	1.3101367202
1.2000000000	1.2080149509	1.3770705156	1.3717514861	1.3695410961
1.4000000000	1.2795430340	1.3550497837	1.3504341763	1.3485163517
1.6000000000	1.3038577843	1.2594950339	1.2560053766	1.2545557600
1.8000000000	1.3640311621	1.1037434343	1.1016900658	1.1008376538
2.0000000000	1.4014026203	0.9054711230	0.9050225844	0.9048374180
2.2000000000	1.4552806054	0.6849031075	0.6860704433	0.6865570820
2.4000000000	1.4940513842	0.4628133897	0.4654498759	0.4665472852
2.6000000000	1.0252301394	0.2585115723	0.2623278781	0.2639157339
2.8000000000	0.5777805043	0.0880125371	0.0926058160	0.0945166006
3.0000000000	0.2340292689	-0.0374331134	-0.0325390692	-0.0305033719
3.2000000000	0.0191278086	-0.1123064168	-0.1076139070	-0.1056621577
3.4000000000	-0.0809263641	-0.1371938181	-0.1331814938	-0.1315127173
3.6000000000	-0.0969055981	-0.1185348572	-0.1156103915	-0.1143940981
3.8000000000	-0.0606592830	-0.0677732727	-0.0662330875	-0.0655925285
4.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
