0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.2000000000	-2.9354759134	0.0650287444	0.0635018064	0.0632088673
0.4000000000	5.9631043688	0.1279586737	0.1250123961	0.1244466616
0.6000000000	-8.2124732116	0.1867913603	0.1826314384	0.1818314345
0.8000000000	10.7667917391	0.2397219119	0.2346340396	0.2336533179
1.0000000000	-11.9305811494	0.2852182849	0.2795431808	0.2784456864
1.2000000000	13.6713739585	0.3220813968	0.3161853262	0.3150399275
1.4000000000	-13.6740587631	0.3494823663	0.3437259482	0.3426006453
1.6000000000	14.5544360140	0.3669752082	0.3616834477	0.3606398022
1.8000000000	-13.6150321212	0.3744854271	0.3699217731	0.3690100785
2.0000000000	13.7977700515	0.3722769804	0.3686238052	0.3678794412
2.2000000000	-12.2723399959	0.3609018388	0.3582490959	0.3576903911
2.4000000000	11.9660333721	0.3411376879	0.3394806963	0.3391084773
2.6000000000	-10.1702236781	0.3139200704	0.3131664826	0.3129653191
2.8000000000	9.5016615027	0.2802754107	0.2802605197	0.2802015121
3.0000000000	-7.6223602594	0.2412608697	0.2417696039	0.2418144086
3.2000000000	6.6198369787	0.1979159258	0.1987092331	0.1988149024
3.4000000000	-4.7454608513	0.1512290644	0.1520719727	0.1521961082
3.6000000000	3.4115244516	0.1021211534	0.1028096446	0.1029153368
3.8000000000	-1.6155414835	0.0514451561	0.0518291292	0.0518891799
4.0000000000	0.0000000000	0.0000000000	0.0000000000	-0.0000000000
